vehicle_speed_kmh,engine_rpm,battery_voltage_v,motor_temperature_c,brake_pressure_bar,throttle_percent,vibration_level,fault_type
50,1800,12.6,70,5,30,0.2,normal
60,2100,12.5,75,4,35,0.3,normal
80,2600,12.4,82,6,45,0.4,normal
100,3200,12.3,88,7,55,0.5,normal
40,1600,12.7,68,3,25,0.2,normal
70,2500,12.2,98,5,40,0.6,high_temperature
90,3000,12.1,105,6,50,0.8,high_temperature
110,3600,12.0,112,8,60,1.0,high_temperature
65,2300,12.2,101,5,42,0.7,high_temperature
45,1700,11.7,72,4,28,0.3,low_battery
55,2000,11.4,74,5,34,0.4,low_battery
75,2500,11.2,80,6,45,0.5,low_battery
35,1500,11.6,69,3,22,0.3,low_battery
30,5000,12.5,77,30,10,2.5,sensor_anomaly
120,900,12.4,79,2,95,2.0,sensor_anomaly
10,6000,12.6,85,40,5,3.0,sensor_anomaly
140,1000,12.3,90,1,100,2.8,sensor_anomaly
